,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,"Mohd Azhar","2022-12-19 05:06:48",3,no,no,"Ulamak pas lupa nak mohon ptolongan allah kot.sebab tlebih bpolitik.",UCTuj6CPW6SU7_nm4ZCZF9Mg,UgwEOp9UVg3amyhkgtx4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgwEOp9UVg3amyhkgtx4AaABAg
2,,"Nova Thor","2022-12-19 05:13:03",2,no,no,"Nmpaknya zahid Tpm kna order pam berkuasa tggi lg",UCb2xnXG6qgdyIpXszOpHQeA,UgzEOxUdPqQSuBihr1N4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzEOxUdPqQSuBihr1N4AaABAg
3,,"Rmk 2878","2022-12-19 05:15:04",2,no,no,"Hidup pas",UC-kJEeSGl3h3TTAYCT-OtjQ,UgyaGt9b4JuHOa_iMMl4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgyaGt9b4JuHOa_iMMl4AaABAg
4,,"Syed Norazman","2022-12-19 05:15:26",4,no,no,"Kerajaan kuat bagi rasuah... Tunggangan agama..  ini balasan dari yg esa",UCL6-vwVnM-lbEHqWqJiyC1g,Ugz82rgsZ4cN2JzdfrZ4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugz82rgsZ4cN2JzdfrZ4AaABAg
5,,"Rajesvaran Doraisamy","2022-12-19 05:15:43",2,no,no,"Mullah PAS mesti tolong pada masa ini,kesian pendudok Kelantan dan Trengganu,Kerajaan Perpaduan akan sedia semua keperulan makannan,Air minum,tempat tinggal,baju dan selemut,PM dan DPM mesti ke tempat terlibat dan petugas sama sukerella beri sokongan kepada pendudok",UCBzBHvti2gssRnbKxDfmdKg,UgzFvyC5b-y2t88mAZZ4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzFvyC5b-y2t88mAZZ4AaABAg
6,,"ROSNIDA IDRIS","2022-12-19 05:24:14",1,no,no,"YaAllah permudhknlh urusan  kami ,,",UCTwpa03Rsxs2w9HTsiAZQfw,UgzUhPJRD54JRc7J3014AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzUhPJRD54JRc7J3014AaABAg
7,,"Sugi Mani","2022-12-19 05:29:42",1,no,no,"Stay safe Malaysian 🙏🙏",UCNUACisVlEE61sxhIAmtDcg,Ugwf5pfG0We2BjdrSER4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugwf5pfG0We2BjdrSER4AaABAg
8,,"Karthigesu Keecha","2022-12-19 05:31:33",3,no,no,"Ini semua pasal Fitnah Pas..sss Dan Hadi....PN Rasuah Undi.",UCQdCwHedxZLmzLDiHdSP2uA,Ugy1FXT5tasCh35w7p54AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugy1FXT5tasCh35w7p54AaABAg
9,,ollie,"2022-12-19 05:35:24",7,no,no,"Kuantan pn banjir jg 
Mudahan semua saudara² kita selamat... Hati² waspada selalu",UCDNamMGa3KERPeLCuWqFWeg,UgzIRQH7ktY67gyLN6l4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzIRQH7ktY67gyLN6l4AaABAg
10,,"John Rico","2022-12-19 05:37:51",5,no,no,"Semoga semua dipermudahkan..amin",UCckXtjJZYyvgzZZBYYCc_ig,Ugzb0uGtUxTJe0WDGk94AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugzb0uGtUxTJe0WDGk94AaABAg
11,,sandman,"2022-12-19 05:41:41",0,no,no,"Habislah camni..",UCBEVFQPvF4fgZMAgAT8VYGA,UgyoEctUTEnlekPHwDl4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgyoEctUTEnlekPHwDl4AaABAg
12,,"Zack Zakwan Yahaya","2022-12-19 05:46:54",3,no,no,"Sesungguhnya Allah swt maha berkuasa dn maha mengetahui segalanya apa yang terbaik untuk Kita sebagai hamba dia di dunia ini 😭 Maafkan Hambamu ini Ya Allah 😭",UCSebPR_SyvaJCzpv9iyRlxA,UgxfjWP23V--uSjbPRh4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgxfjWP23V--uSjbPRh4AaABAg
