,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,"Fu Q","2023-01-04 09:04:24",0,no,no,"Well snowmobile riding is off my to do list...sad to see someone lose their life over something they could have avoided in the first place ... probably doing some stupid off the wall dangerous stunt well shit happens and it happened to him",UCGFNNeFhIxczlyS87oXkzYg,Ugx2ikCY4q9mqVNrJyR4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugx2ikCY4q9mqVNrJyR4AaABAg
2,,Looking,"2023-01-04 09:15:49",0,no,no,"God dam legend has left us",UCMQ8zt12lmlKQ1CPw9gOjNA,UgxQmnlw3VPWEo6LkC54AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxQmnlw3VPWEo6LkC54AaABAg
3,,"RS Master","2023-01-04 09:17:17",0,no,no,"What a sad start of the year 2023",UCyWnaPm_zxCKkyc1rint_1A,UgxVY-tJc4v_8Bh9xUR4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxVY-tJc4v_8Bh9xUR4AaABAg
4,,"The Winning Streek","2023-01-04 09:20:23",0,no,no,"Man this one really fucked me up",UCrTOTZ9Euhotqr3pLexF4vA,UgxI27WY80d0ZDH9NIV4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxI27WY80d0ZDH9NIV4AaABAg
5,,"Memi Sahitolli","2023-01-04 09:20:31",0,no,no,"RIP Legend",UCZ6jSi4z-YkFWUL4RkacI_g,UgzvFLA6h44BBrYUGm14AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgzvFLA6h44BBrYUGm14AaABAg
6,,"Cowboy Kampfer","2023-01-04 09:29:31",0,no,no,"Ken you will be missed   & remembered. Thank you",UCWLZRIAhslS19oX3550lCFg,UgxgfBEKFjk6q__0gj94AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxgfBEKFjk6q__0gj94AaABAg
7,,Tganz,"2023-01-04 09:36:13",0,no,no,"Sooner or later you have to stop doing things you do at a younger age. 
No doubt he's a LEGEND and I still Admire what he's accomplished just wish these extreme athlete's would slow down to teach their talents to younger generation, RIP KB you will be missed, God speed brother!💔😢",UCffQvHyJw2Alf8gXYdfj8zQ,Ugy-pnTBsgRP3M9az554AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugy-pnTBsgRP3M9az554AaABAg
8,,Kruegsterboys,"2023-01-04 09:36:33",0,no,no,"Rest in peace Ken Block",UCNgPbaSoesjm4UWvEZKB_Fg,Ugz3Z25ASUFjv2SgFY14AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugz3Z25ASUFjv2SgFY14AaABAg
9,,"Sandra-Louise at Mumma2s Place","2023-01-04 09:37:44",0,no,no,"So sad. Rip dude. 🙏🙏",UCrurctP0FI1oUAvxMZsBdgA,UgwTxlSG4ElIQGI7soN4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgwTxlSG4ElIQGI7soN4AaABAg
10,,Del,"2023-01-04 09:43:56",0,no,no,"RIP Ken",UCVV4-Io9pzZ5CwLuOvpObSg,Ugx-jhQ6vNQ3p60U3o94AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugx-jhQ6vNQ3p60U3o94AaABAg
11,,"Charleston Tate","2023-01-04 09:45:07",0,no,no,"Really enjoyed his content",UC_HNbh7PaWwCLhf4HcTyrnA,UgxItVQpj_waLxHcaNp4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxItVQpj_waLxHcaNp4AaABAg
12,,Gus,"2023-01-04 09:45:41",0,no,no,RIP...,UCb3hJu3l6ojqX8CWvfg2AJA,Ugx8kmUh8ddpSF3yQFJ4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugx8kmUh8ddpSF3yQFJ4AaABAg
13,,"Kok Heng Lee","2023-01-04 09:52:13",0,no,no,"Always my hero and die hard in drifting!! Rest in peace bro!!",UCbuvaLElw8A8KLFkXWUEK5g,Ugze23C1dBamueuLDtx4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugze23C1dBamueuLDtx4AaABAg
