,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,"New Rockstars","2023-01-03 16:41:10",67,no,no,"Thanks to Keeps for sponsoring this video! Head to https://keeps.com/NewRockstars to get 50% off your first Keeps order.",UC7yRILFFJ2QZCykymr8LPwA,UgzVnWpd9HIDJqZq5VZ4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzVnWpd9HIDJqZq5VZ4AaABAg
2,,"Dan Schiller","2023-01-03 21:08:01",1,no,no,"I've had enough Batman.",UCmBzBnUySKjNTfWzcMXx1kw,UgwUyWX5hH4KmB6mQPV4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwUyWX5hH4KmB6mQPV4AaABAg
3,,"Mike Mota","2023-01-03 21:09:05",0,no,no,"Thanks alot COVID",UCwkyBHG23Qvvp8w42Xvrctw,UgxxiSWayt8yV1beHlV4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxxiSWayt8yV1beHlV4AaABAg
4,,"Pablo Ruiz","2023-01-03 21:17:12",2,no,no,"When we finish the Phase 5 and 6, I’m going to take a break from Marvel in the future 😣",UCTzz5KRhJmVOIQSXcWrxp2w,UgzPfTpVgOy_PlhaauJ4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzPfTpVgOy_PlhaauJ4AaABAg
5,,"Jamie Gagnon","2023-01-03 21:17:52",0,no,no,"I can't wait to see Chris Evans Captain America meet Chris Evans Johnny Storm.",UCJ5Upidn0uDHmp49rHFpWqg,UgxEj44jBQpdAxflb3t4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxEj44jBQpdAxflb3t4AaABAg
6,,G.B.W,"2023-01-03 21:21:24",0,no,no,"It makes sense but no one can replace RDJ",UCcZn3ICLwZwsOGPds5_NRvw,Ugxa-P5piN8AZPmpGDt4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugxa-P5piN8AZPmpGDt4AaABAg
7,,CHASE,"2023-01-03 21:31:04",0,no,no,"Rebooting the mcu from the beginning with he xmen spidey and fantastic 4 from the very beginning,,,Yes Please!",UCTzbReOsjhJhLVJ9SNZdUSg,UgxYEjkcrG38Fj0Mdwh4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxYEjkcrG38Fj0Mdwh4AaABAg
8,,"Arvind Raghavan","2023-01-03 21:31:47",10,no,no,"John Krasinski looked absolutely fantastic as reeds 🙌",UCHhWSUedn0kP7yqyf8IRlCQ,UgwoVUolZsk5diIkEWx4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwoVUolZsk5diIkEWx4AaABAg
9,,Fuji,"2023-01-03 21:33:47",0,no,no,"Dr strange the slave master supreme",UCtIdb5mbI8NPUX7YdicjmlQ,UgxI-qw09SF-SwPLUZB4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxI-qw09SF-SwPLUZB4AaABAg
10,,"red lion","2023-01-03 21:36:03",24,no,no,"No one can replace Chadwick and Jeremy if he don't recover",UC6qAuWdjljwevV34hVPQ3RQ,UgwoC8CGpdLsbULlsfF4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwoC8CGpdLsbULlsfF4AaABAg
11,,"Oliv book","2023-01-03 21:36:16",0,no,no,"I just want a MF DOOM soundtrack on a Dr doom movie",UCAfp4q68QwXSTlPn6dL6otA,Ugwhqr1b89UHKxK8pLZ4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugwhqr1b89UHKxK8pLZ4AaABAg
12,,"red lion","2023-01-03 21:38:17",0,no,no,"Jeremy please make a full recovorey",UC6qAuWdjljwevV34hVPQ3RQ,UgySA8PRXd-ZCLJK5Lh4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgySA8PRXd-ZCLJK5Lh4AaABAg
13,,Fuji,"2023-01-03 21:41:49",0,no,no,"Maybe even Ed Norton as hulk",UCtIdb5mbI8NPUX7YdicjmlQ,UgzOh4zgNols3kFrfMd4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzOh4zgNols3kFrfMd4AaABAg
14,,"michael edwards","2023-01-03 21:41:55",1,no,no,"Imagine we get a director like Christopher Nolan to direct secret wars.",UCG1eAZ_6i9KkWFG9gWFSzkA,UgyM4OrgxvmB5-CGGyl4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgyM4OrgxvmB5-CGGyl4AaABAg
15,,"Crusaderjr ʕ •ᴥ•ʔ","2023-01-03 21:43:01",3,no,no,"what im most interested in is if they regroup all past marvel type characters with current or future, what would they do with actors that played an old version of another character, Human torch for example",UCbJ_0kBuHDChcnmxjiqFzFA,UgwgKJkQt_2aR-KPblx4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwgKJkQt_2aR-KPblx4AaABAg
16,,Fuji,"2023-01-03 21:43:05",0,no,no,"Possibly even George Clooney as batman",UCtIdb5mbI8NPUX7YdicjmlQ,UgwiWFNlNF57hGHKwYp4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwiWFNlNF57hGHKwYp4AaABAg
17,,Fuji,"2023-01-03 21:46:26",0,no,no,"Possibly even George Clooney as Batman",UCtIdb5mbI8NPUX7YdicjmlQ,Ugw7tM3D1KQh5M5BYSh4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugw7tM3D1KQh5M5BYSh4AaABAg
18,,Fuji,"2023-01-03 21:46:47",0,no,no,"Dean Cain as superman",UCtIdb5mbI8NPUX7YdicjmlQ,UgxY1Truw-akVwtrjhd4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxY1Truw-akVwtrjhd4AaABAg
19,,Fuji,"2023-01-03 21:46:57",0,no,no,"Dean Cain as Superman",UCtIdb5mbI8NPUX7YdicjmlQ,UgxjnN3afvvzZHajJap4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxjnN3afvvzZHajJap4AaABAg
20,,"Mando O","2023-01-03 21:49:44",0,no,no,"After secret wars is the mutants saga so no more avengers",UCPXKptNAysJS0lVJcjqF45w,UgzsZC-mXaBUr3tT3ox4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzsZC-mXaBUr3tT3ox4AaABAg
