,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,"Elden Ringer","2023-01-04 04:04:50",1,no,no,"LOCK THEM UP!!!!",UCao9SkJtY0vk-OPTsocmyyQ,Ugw4SU4G9aKT4xzuMot4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugw4SU4G9aKT4xzuMot4AaABAg
2,,"Byron Mist","2023-01-04 04:08:16",0,no,no,"He definitely supports Mccarthy.  It's his yes man.",UCq1iN0PKRDCWMvzVMJxN7EA,Ugxp6qB5Sgx3VtmqOtd4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugxp6qB5Sgx3VtmqOtd4AaABAg
3,,"Lorraine Kopp","2023-01-04 04:08:31",0,no,no,"Who cares what that pos thinks?",UCSeyJPPWmvA5P7Pp46JWb0Q,UgxLpWHG4qfEM_QZ45t4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgxLpWHG4qfEM_QZ45t4AaABAg
4,,"The truth For now","2023-01-04 04:10:34",0,no,no,"Trump remains neutral because he is tired of losing his endorsements. He previously endorsed McCarthy. Now he says ""we'll see"", if he wins then I endorsed him. Biden is so far above trump and his klan because he is a normal person.",UCqe41DFtnQvgxRbMpYNBm4g,UgyP30Cng52DejG4mSx4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgyP30Cng52DejG4mSx4AaABAg
5,,KNUCKLEDRAGON,"2023-01-04 04:11:23",0,no,no,"Mcarthys tongue isn't long enough",UCtiSssuYgg6A5zWRJU6JiDQ,UgxIKCQUAMEsEEVgx9x4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgxIKCQUAMEsEEVgx9x4AaABAg
6,,"James Corbitt Bogs Jr","2023-01-04 04:12:34",0,no,no,"McCarthy is a RINO might as well elect a Democrat. no difference.",UC66774M75nnXdZEJKLpI_-A,UgzHpwiBj7lEGXRcJRV4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzHpwiBj7lEGXRcJRV4AaABAg
7,,"Seymour Butts","2023-01-04 04:12:58",0,no,no,"Republicans sure do go through a lot of knee pads and chapstick.",UCizMDRTy97azBNkYhipWGtw,UgzRDMQ-uU6GvjmJN9N4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzRDMQ-uU6GvjmJN9N4AaABAg
8,,"John H","2023-01-04 04:13:09",0,no,no,"Da,da,da,da,da,da,da,da,da,da...step right up folks! Elect a clown,expect a circus!",UCTbVm3sxc1jdCAyQOoq6nfw,Ugwd8R3xcsx6rly2BtZ4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugwd8R3xcsx6rly2BtZ4AaABAg
9,,"Ronnie Delahoussaye Chauvin","2023-01-04 04:14:24",0,no,no,"They all reaping there Crimes, They stay up all night keeping Domino’s Busy….I’m full, Louisiana State Board Of Ethic’s I Bet They Enjoined🤡🍿🤡Corruption💯",UCFRAxdqXg7gd3vvzVW4QXWg,Ugx72r3q0bLgBrArAB14AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugx72r3q0bLgBrArAB14AaABAg
10,,Ric,"2023-01-04 04:19:16",0,no,no,"Fist Fight!!!!  Fist Fight!!!
Trump just wants a win😂 He’ll flip flop 👎🏿",UCGPv1ISAMuzXXqKGhOSAsnA,Ugywp5ZIVznbodGju_h4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugywp5ZIVznbodGju_h4AaABAg
11,,"Floda Reltih","2023-01-04 04:20:03",3,no,no,"IQ45: I’m the Biggest Loser of 2022 
KM: Can I take that title for 2023?",UClDeQP6SybAkhrjmupaFR9A,Ugzq504oWHfq0sTOBDd4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugzq504oWHfq0sTOBDd4AaABAg
12,,"b Lose","2023-01-04 04:20:48",0,no,no,"Trump don’t want to associate with losers.",UCA87VFNxDlbYbPJM7AXqV2w,UgxMPSyjv40JFvz9obh4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgxMPSyjv40JFvz9obh4AaABAg
13,,"Craig Russell","2023-01-04 04:22:19",0,no,no,"The so-called freedom caucus wants the government to fail. So this suits their goal.",UCF93hyUtTCNKUTgZP_dU1iA,UgzfS7tEKQ50TzBgMhZ4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzfS7tEKQ50TzBgMhZ4AaABAg
14,,"Paul Germana","2023-01-04 04:23:08",0,no,no,"Where's his powerful leverage over the party now?!!!!",UCybOONzZ2tXRk3wGsVDx5BA,Ugw3DbSpH9qPIJgIWzx4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugw3DbSpH9qPIJgIWzx4AaABAg
15,,"Michaell Stone","2023-01-04 04:23:55",1,no,no,"Go Jeffries Go!!!!!!",UCy9JsE7G73sAkw65bu6a7LA,Ugwlqu3CkHvNec1P2fp4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugwlqu3CkHvNec1P2fp4AaABAg
